"http://professionals.collegeboard.com/profdownload/sat-raw-score-to-scaled-score-ranges-2010.pdf",,,,,
"Raw score","Critical Reading","Raw score","Mathematics","Raw score","Writing Skills"
67,800,,,,
65,"790-800",,,,
60,"710-730",,,,
55,"660-670",54,800,,
50,"620-630",50,"710-730",49,800
45,"580-590",45,"650-670",45,"690-730"
40,"550-560",40,"610-630",40,"620-660"
35,"520-530",35,"570-580",35,"570-660"
30,"490-510",30,"530-540",30,"520-550"
25,"460-480",25,"490-500",25,"480-510"
20,"420-450",20,"450-460",20,"440-460"
15,"390-420",15,"410-420",15,"400-420"
10,"350-380",10,"360-380",10,"350-370"
5,"300-330",5,"300-330",5,"300-330"
0,"220-270",0,"220-260",0,"210-260"
-5,200,-5,200,-5,200
