"STATION","NAME","DATE","AWND","PRCP","TMAX","TMIN","WT01","WT03","WT08"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-01","4.47","0.00","66","43",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-02","9.40","0.24","58","47","    1",,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-03","11.63","0.06","57","44","    1",,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-04","4.47","0.00","65","39",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-05","7.83","0.00","71","49",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-06","12.08","0.11","62","48",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-07","12.97","0.00","68","44",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-08","14.32","0.00","80","50",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-09","9.17","0.00","86","62",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-10","9.84","0.00","87","62",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-11","8.95","0.01","74","54",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-12","6.49","0.05","65","50","    1",,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-13",,"0.00","65","52",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-14","5.59","0.11","67","50","    1",,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-15","6.26","0.00","68","52",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-16","5.37","0.54","64","54","    1",,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-17","6.04","0.13","68","53","    1",,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-18","6.26","0.00","67","50",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-19","8.05","0.00","65","52",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-20","10.29","0.03","59","51","    1",,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-21","8.72","0.36","59","47","    1",,"    1"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-22","9.62","0.05","62","47","    1",,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-23","3.80","0.00","65","48",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-24","4.03","0.00","71","50",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-25","6.71","0.11","63","55","    1",,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-26","5.59","0.00","66","52","    1",,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-27","6.93","0.00","75","48",,,"    1"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-28","7.16","0.00","82","57",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-29","7.61","0.00","80","58",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-30","8.05","1.14","60","50","    1","    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-31","8.28","0.18","63","49","    1",,
